ID,trip.frequency,payment.options,payment.options_text,prepaid.transit_value,prepaid.transit_other,discount.eligible,discount.other,discount.senior,discount.veteran,discount.student,discount.other_recieve,Q3.4_4_TEXT,discount.ineligible,discount.idk,financial.checking,financial.savings,financial.prepaid,financial.credit,financial.checkcashing,financial.loan,financial.peer,financial.wire,financial.mobile,financial.other,financial.other_text,bank.interest,bank.hours,bank.location,bank.fees_high,bank.fees_unpredictable,bank.useless,bank.distrust,bank.minbalance,bank.privacy,bank.identification,bank.other,bank.other_text,prepaid.card_from,prepaid.card_other,preference.credit,preference.phone,preference.prepaid_debit,preference.debit,preference.prepaid_gov,challenge.phone,challenge.phone_other,challenge.prepaid_gov,challenge.prepaid_gov_other,gender,income,benefits,benefits.other,employment,employment.other,section1,section3,section4,section5,section6,complete,payment.other,payment.cash,payment.prepaid,payment.mobile,payment.card,phone.wifi,phone.money,phone.identity,phone.fees,phone.balance,prepaid.places,prepaid.money,prepaid.sharing,prepaid.identity,prepaid.fees,prepaid.balance,calfresh,wic,medical,healthyfam,calworks,housing,female,male,other,inc.less25,inc.25,inc.50plus,financial.count,unbanked,checking.only,savings.only,both.accounts,some.banking,prefer.none
82,Five days a week,Prepaid card from transit agency,NA,Credit card at card kiosks or vending machines in transit stations/at stops,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,No,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would like to use,Would not use,Would like to use,Would not use,"Ways to add money,Identity concerns,Knowing the balance",NA,"Identity concerns,Knowing the balance",NA,Male,"Less than $25,000",NA,NA,Sales or marketing,NA,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,No,No,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
83,Three days a week,Cash,NA,NA,NA,"Yes, another discount (please write in)",Over 62 ,NA,NA,NA,Definitely yes,Over 62 ,NA,NA,Yes,No,Yes,Yes,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From an employer,NA,Would like to use,Would not use,Would not use,Would like to use,Would like to use,Monthly fees,NA,"Places to get it,Ways to add money,Monthly fees",NA,Male,"$50,000 or more",NA,NA,Unemployed,Retired ,1,1,1,1,0,4,FALSE,Yes,No,No,No,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,No,Yes,NA,No,No,Yes,1,No,Yes,No,No,Yes,0
84,Six or seven days a week,"Cash,Other (please write in)",Bus card ,NA,NA,"Yes, another discount (please write in)",Shelter 4th and hope ,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From somewhere else (please write in),Walmart,Would not use,Would not use,Would not use,Would not use,Would like to use,"Not having wifi access,Identity concerns,Knowing the balance",NA,NA,NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
85,Four days a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a bank branch or website,NA,Would not use,Would not use,Would like to use,Would not use,Would not use,NA,NA,NA,NA,Female,"Less than $25,000",Medi-Cal,NA,Unemployed,On disability,1,1,1,0,0,3,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,No,NA,Yes,No,No,1,No,Yes,No,No,Yes,0
86,Five days a week,Other (please write in),Transit card ,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would not use,Would not use,Would not use,Identity concerns,NA,"Places to get it,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,Male,"$50,000 or more",NA,NA,University faculty or staff,NA,1,1,1,1,0,4,FALSE,No,No,No,No,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,No,Yes,NA,No,No,Yes,1,No,No,No,Yes,Yes,0
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,FALSE,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
88,NA,Other (please write in),Connect card ,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,No,No,No,NA,NA,Somewhat interested,No,Yes,No,No,No,No,No,No,No,No,NA,From somewhere else (please write in),Money network ,Already use,Would like to use,Would like to use,Would like to use,Would like to use,NA,NA,NA,NA,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,0,0,3,FALSE,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
89,Six or seven days a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,Not at all interested,No,No,No,No,No,No,No,No,Yes,No,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would not use,"Not having wifi access,Other (please write in)",Don’t know about phones ,Other (please write in),Not sure about what it is,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,1
90,Less than once a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a website or other that is not a bank,NA,Would not use,Would like to use,Would not use,Would like to use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns,Knowing the balance",NA,Identity concerns,NA,Female,"Less than $25,000","Medi-Cal,Healthy Families Program",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
91,Less than once a week,Cash,NA,NA,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,Not very interested,No,No,No,No,No,No,Yes,No,No,No,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would not use,NA,NA,NA,NA,Female,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,Yes,No,No,No,NA,1
92,Three days a week,Cash,NA,NA,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From somewhere else (please write in),Forgot ,Would not use,Would not use,Would like to use,Would not use,Would like to use,"Not having wifi access,Identity concerns",NA,Identity concerns,NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,Semi-retired ,1,1,1,1,1,5,FALSE,Yes,No,No,No,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
93,Six or seven days a week,Cash,NA,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would not use,Would not use,Would like to use,Would not use,"Not having wifi access,Knowing the balance",NA,"Ways to add money,Knowing the balance",NA,Female,"Less than $25,000","Medi-Cal,Housing Assistance Program",NA,NA,Employed ,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
94,NA,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,No,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would like to use,Not having wifi access,NA,NA,NA,Male,"Less than $25,000","WIC,Medi-Cal,Healthy Families Program,CalWORKS,Housing Assistance Program",NA,NA,Project work ,1,1,1,0,1,4,FALSE,Yes,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,No,Yes,NA,Yes,No,No,1,No,No,Yes,No,Yes,0
95,Less than once a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a bank branch or website,NA,Would not use,Would not use,Would not use,Would not use,Would not use,"Not having wifi access,Ways to add money,Monthly fees",NA,Identity concerns,NA,Female,"Less than $25,000",NA,NA,Unemployed,Retired,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,1
96,NA,Cash,NA,NA,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,No,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Already use,Would not use,Would not use,Would not use,Would not use,NA,NA,NA,NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
97,NA,Cash,NA,NA,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,NA,Somewhat interested,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would not use,Other (please write in),No phone ,Identity concerns,NA,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,1
98,Three days a week,Cash,NA,NA,NA,"Yes, another discount (please write in)",Disabled ,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"From a family member, friend, or other personal acquaintance",NA,Would not use,Would like to use,Already use,Would not use,Would like to use,"Not having wifi access,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,"Identity concerns,Monthly fees,Knowing the balance",NA,Female,"Less than $25,000","CalFresh or SNAP,WIC,Medi-Cal,Healthy Families Program,Housing Assistance Program",NA,NA,Self -employed ,1,1,1,1,1,5,FALSE,Yes,No,No,No,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
99,Six or seven days a week,"Cash,Contact-less/tap payment with a credit card or prepaid debit card",NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,No,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a government agency,NA,Would like to use,Would like to use,Would like to use,Already use,Would like to use,"Identity concerns,Monthly fees,Knowing the balance",NA,"Identity concerns,Other (please write in)",Card should be reissued every 12-18 months for security ,Female,"$25,000 to $49,999",NA,NA,Management or administrative,NA,1,1,1,1,0,4,FALSE,Yes,No,No,Contact-less payment,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Yes,No,NA,No,Yes,No,1,No,Yes,No,No,Yes,0
100,Four days a week,"Cash,Prepaid card from transit agency",NA,Other (please write in),Office,"Yes, another discount (please write in)",Disability ,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,Yes,Yes,No,No,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From somewhere else (please write in),Does not use ,Would not use,Would not use,Would like to use,Would not use,Would not use,"Identity concerns,Monthly fees",NA,"Identity concerns,Monthly fees,Knowing the balance",NA,Male,"$25,000 to $49,999",Other (Please write in),NA,NA,Self-employed,1,1,1,1,1,5,FALSE,Yes,Prepaid card from transit agency,No,No,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,No,Yes,NA,No,Yes,No,1,No,No,No,Yes,Yes,0
101,Four days a week,Cash,NA,NA,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a website or other that is not a bank,NA,Would not use,Would like to use,Would like to use,Would like to use,Would like to use,NA,NA,NA,NA,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,Yes,No,No,Yes,0
102,Less than once a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,No,No,No,No,NA,Not at all interested,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,NA,From a website or other that is not a bank,NA,Would like to use,Would like to use,Would like to use,Would not use,Would like to use,Not having wifi access,NA,"Places to get it,Sharing the card with family members,Monthly fees,Knowing the balance",NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal,CalWORKS",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
103,Four days a week,Prepaid card from transit agency,NA,Other (please write in),Calls office ,"Yes, another discount (please write in)",Disability ,NA,NA,NA,Definitely yes,NA,NA,NA,No,No,No,No,No,No,No,No,No,NA,NA,Somewhat interested,No,No,No,No,No,No,No,No,No,NA,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would not use,Not having wifi access,NA,NA,NA,Female,"Less than $25,000",Other (Please write in),Disability ,Unemployed,NA,1,1,1,0,0,3,FALSE,No,Prepaid card from transit agency,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,Yes,No,No,No,NA,1
104,Four days a week,Cash,NA,NA,NA,"Yes, student discount",NA,NA,NA,Might or might not,NA,NA,NA,NA,No,Yes,Yes,No,Yes,No,Yes,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a bank branch or website,NA,Would not use,Would not use,Would not use,Would not use,Would not use,NA,NA,Identity concerns,NA,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,0,0,3,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,Yes,No,Yes,1
105,Six or seven days a week,Prepaid card from transit agency,NA,Credit card at card kiosks or vending machines in transit stations/at stops,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From an employer,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would not use,"Identity concerns,Monthly fees,Knowing the balance",NA,"Places to get it,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,Male,"$25,000 to $49,999",NA,NA,Services or repair,NA,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,No,No,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,No,Yes,NA,No,Yes,No,1,No,No,No,Yes,Yes,0
106,Six or seven days a week,"Mobile phone (QR Code, digital wallet, mobile ticket, etc.),Other (please write in)",Zip Pass,NA,NA,"Yes, another discount (please write in)",GA program ,NA,NA,NA,Definitely yes,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,NA,NA,Somewhat interested,No,No,Yes,No,No,No,No,No,No,No,NA,From somewhere else (please write in),Green dot from Walgreens ,Would like to use,Would like to use,Would like to use,Would not use,Would not use,NA,NA,NA,NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,0,0,3,FALSE,No,No,Mobile phone,No,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,No,NA,Yes,No,No,1,Yes,No,No,No,NA,0
107,Six or seven days a week,Contact-less/tap payment with a credit card or prepaid debit card,NA,NA,NA,"Yes, another discount (please write in)",Disability ,NA,NA,NA,Definitely yes,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would not use,Would not use,Would not use,Would not use,"Not having wifi access,Ways to add money",NA,NA,NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal,CalWORKS",NA,NA,NA,1,1,1,0,0,3,FALSE,No,No,No,Contact-less payment,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,1
108,Five days a week,Prepaid card from transit agency,NA,Credit card at card kiosks or vending machines in transit stations/at stops,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,No,No,No,No,No,NA,Not at all interested,No,No,No,No,No,No,No,No,No,NA,"SSI money is all he uses, and it’s already on a debit card",From a government agency,NA,Already use,Would not use,Would like to use,Would like to use,Would like to use,"Not having wifi access,Ways to add money",NA,Ways to add money,NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal,Housing Assistance Program",NA,Unemployed,Retired ,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,No,No,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
109,Six or seven days a week,"Prepaid card from transit agency,Mobile phone (QR Code, digital wallet, mobile ticket, etc.)",NA,Through an online transit agency account that is connected to my card,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a website or other that is not a bank,NA,Would like to use,Would like to use,Already use,Would like to use,Would like to use,Not having wifi access,NA,Places to get it,NA,Female,"Less than $25,000",NA,NA,Education (K-12),Preschool teacher ,1,1,1,1,0,4,FALSE,No,Prepaid card from transit agency,Mobile phone,No,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes,No,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
110,Three days a week,Cash,NA,NA,NA,"Yes, student discount",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,2,FALSE,Yes,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
111,Six or seven days a week,Cash,NA,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,No,No,No,No,No,No,No,No,NA,Somewhat interested,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,NA,NA,NA,Would not use,Would not use,Would like to use,Would not use,Would like to use,"Not having wifi access,Identity concerns,Monthly fees,Knowing the balance",NA,"Places to get it,Ways to add money,Identity concerns,Monthly fees,Other (please write in)",Must be insured ,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
112,Less than once a week,Cash,NA,NA,NA,"Yes, another discount (please write in)",Disability ,NA,NA,NA,Definitely yes,Disability,NA,NA,Yes,Yes,No,No,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would not use,Would not use,Would like to use,Would like to use,Would not use,"Not having wifi access,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,"Places to get it,Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
113,Six or seven days a week,Cash,NA,NA,NA,"Yes, another discount (please write in)",Ticket pass ($1.25),NA,NA,NA,Definitely yes,NA,NA,NA,No,No,No,No,No,No,No,Yes,No,NA,NA,Not at all interested,No,No,Yes,Yes,No,No,Yes,Yes,No,NA,NA,NA,NA,Would not use,Would not use,Would like to use,Would not use,Would like to use,"Not having wifi access,Ways to add money",NA,NA,NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal,Housing Assistance Program",NA,NA,Self- employed ,1,1,1,0,1,4,FALSE,Yes,No,No,No,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
114,Six or seven days a week,Prepaid card from transit agency,NA,Other (please write in),13th st pay monthly ,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From somewhere else (please write in),Walmart ,Would not use,Would not use,Would like to use,Would not use,Would not use,"Not having wifi access,Identity concerns,Monthly fees,Knowing the balance",NA,NA,NA,Male,"Less than $25,000",NA,NA,Unemployed,Retired ,1,1,1,0,0,3,FALSE,No,Prepaid card from transit agency,No,No,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,0
115,Less than once a week,Cash,NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,From a website or other that is not a bank,NA,Would not use,Would not use,Would not use,Would not use,Would not use,Identity concerns,NA,"Sharing the card with family members,Identity concerns",NA,Male,"Less than $25,000","CalFresh or SNAP,Medi-Cal,CalWORKS",NA,Production/construction or crafts,NA,1,1,1,1,1,5,FALSE,Yes,No,No,No,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,No,Yes,NA,Yes,No,No,1,No,No,No,Yes,Yes,1
116,Six or seven days a week,Other (please write in),Buss pass from welfare ,NA,NA,"Yes, senior citizen discount",NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,No,Yes,No,Yes,NA,NA,NA,No,No,Yes,No,No,No,Yes,No,No,No,NA,From a bank branch or website,NA,Would not use,Would like to use,Would like to use,Would like to use,Would like to use,"Not having wifi access,Ways to add money",NA,NA,NA,Female,"Less than $25,000","CalFresh or SNAP,Medi-Cal",NA,Unemployed,NA,1,1,1,0,0,3,FALSE,No,No,No,No,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,No,NA,Yes,No,No,1,Yes,No,No,No,NA,0
117,NA,Cash,NA,NA,NA,"Yes, another discount (please write in)",Disability ,NA,NA,NA,Definitely yes,NA,NA,NA,No,No,Yes,Yes,Yes,No,Yes,Yes,No,NA,NA,Not at all interested,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,NA,From somewhere else (please write in),Paypal,Would not use,Would like to use,Would like to use,Would not use,Would not use,Ways to add money,NA,NA,NA,Male,"Less than $25,000","CalFresh or SNAP,WIC,Medi-Cal,Healthy Families Program,CalWORKS",NA,Unemployed,NA,0,1,1,0,0,2,FALSE,Yes,No,No,No,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,No,Yes,NA,Yes,No,No,1,Yes,No,No,No,NA,0
118,Five days a week,"Mobile phone (QR Code, digital wallet, mobile ticket, etc.)",NA,NA,NA,"No, I am not eligible for any of these discounts",NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,Yes,No,No,No,No,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Already use,Would not use,Would like to use,Would not use,"Not having wifi access,Identity concerns,Monthly fees",NA,"Places to get it,Ways to add money,Sharing the card with family members,Monthly fees,Knowing the balance",NA,Male,"$50,000 or more",NA,NA,Services or repair,Hospitality,1,1,1,1,0,4,FALSE,No,No,Mobile phone,No,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,No,Yes,NA,No,No,Yes,1,No,Yes,No,No,Yes,0
119,Two days a week,Cash,NA,NA,NA,I don't know,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,No,No,No,No,Yes,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would like to use,Would like to use,Would not use,"Not having wifi access,Ways to add money,Monthly fees,Knowing the balance",NA,"Ways to add money,Identity concerns,Monthly fees,Knowing the balance",NA,Male,"Less than $25,000",NA,NA,Unemployed,NA,1,1,1,1,0,4,FALSE,Yes,No,No,No,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,No,Yes,NA,Yes,No,No,1,No,Yes,No,No,Yes,0
120,Five days a week,"Cash,Contact-less/tap payment with a credit card or prepaid debit card",NA,NA,NA,"Yes, another discount (please write in)",Disability ,NA,NA,NA,Probably yes,NA,NA,NA,Yes,Yes,No,Yes,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Would like to use,Would like to use,Would like to use,Would not use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,3,FALSE,Yes,No,No,Contact-less payment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,No,NA,NA,NA,NA,1,No,No,No,Yes,Yes,0
